Category,TRD_ID,Technical_Requirement_Description,PRD_Relationship,Owner,Comments
IR,TR-IR-16,"Product shall decode Orion IR ID transmitted in IR sub-slot 1 (Profile A) and self noise on according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-17,"Product shall decode Orion IR ID transmitted in IR sub-slot 2 (Profile B) according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-18,"Product shall decode Orion IR ID transmitted in IR sub-slot 2 (Profile B) and self noise on according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-19,"Product shall decode Orion IR ID transmitted in IR sub-slot 3 (Profile C) according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-2,Product shall support IR Sync Via UHF in Orion,,,
IR,TR-IR-20,"Product shall decode Orion IR ID transmitted in IR sub-slot 3 (Profile C) and self noise on according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-21,"Product shall decode Orion IR ID transmitted in IR sub-slot 4 (Profile D) according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-22,"Product shall decode Orion IR ID transmitted in IR sub-slot 4 (Profile D) and self noise on according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-23,"Product shall decode Orion IR ID transmitted in IR sub-slot 5 (Profile E) according to the following criterea:

- Success Rate > 95%;
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-24,"Product shall decode Orion IR ID transmitted in IR sub-slot 5 (Profile E) and self noise on according to the following criterea:

- Success Rate > 95%;
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-25,"Product shall decode Orion IR ID transmitted in IR sub-slot 6 (Profile F) according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-26,"Product shall decode Orion IR ID transmitted in IR sub-slot 6 (Profile F) and self noise on according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-27,"Product shall decode Pegasus IR ID transmitted in Normal Profile according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
IR,TR-IR-28,"Product shall decode Pegasus IR ID transmitted in Normal Profile and IR self noise according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- All IR sources configured with self noise enabled",,,
IR,TR-IR-29,"Product shall decode Pegasus IR ID transmitted in the presence of Wolver-Hampton IR noise according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- UUT centered beneath desired IR source (desired bay 6ft wide)
- Wolver-Hampton noise sources on either side of desired bay
- All IR sources must use IR visors",,,
IR,TR-IR-3,Product shall support asynchronous IR reception in Pegasus system.,,,
IR,TR-IR-30,"Product shall decode Pegasus IR ID transmitted in the presence of Wolver-Hampton IR noise and IR self noise according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)
- UUT centered beneath desired IR source (desired bay 6ft wide)
- Wolver-Hampton noise sources on either side of desired bay
- All IR sources must use IR visors
- All IR sources configured with self noise enabled",,,
IR,TR-IR-31,"Product shall open for IR every ""T"" seconds according to the formula:
T = IR Profile x (IR RX Profile + 1) seconds
where:
IR Profile = 1.5 or 3 or 6
IR RX Profile =  0 to 20 (inclusive and integer values)",,,
IR,TR-IR-35,"Product shall transmit a new Orion location packet immediately following IR decode if the decoded IR ID differs from last IR ID.
",,,
IR,TR-IR-36,Product shall support long IR open to receive IR in asynchronous mode in Orion system.,,,
IR,TR-IR-4,Product shall support asynchronous IR reception in Orion system.,,,
IR,TR-IR-5,Product shall support Receiving and Decoding synchronous IR in Pegasus,,,
IR,TR-IR-6,Product shall support Receiving and Decoding synchronuos IR in Orion,,,
IR,TR-IR-7,Product shall support long IR open to receive IR in asynchronous mode in Pegasus system.,,,
IR,TR-IR-8,Product shall support Receiving and Decoding IR in asynchronous mode by SUPT Marker Detection in Orion.,,,
IR,TR-IR-9,Product shall be capable of decoding Orion IR IDs from 1 to 4095.,,,
LBI_LBS,TR-LBILBS-1,Product shall contain a battery voltage monitoring circuit external to MCU.,,,
LBI_LBS,TR-LBILBS-10,"Product shall support measuring battery voltage under low-load (referenced here as ""VLL"") as part of LBI measurement.",,,
LBI_LBS,TR-LBILBS-11,"Product shall support measuriung battery voltage under high-load (referenced here as ""VHL"") as part of LBI measurement.",,,
LBI_LBS,TR-LBILBS-12,Product shall measure voltage directly across battery terminals (known as LBI measurement) periodically for the purpose of determining health and depletion level of battery.,,,
LBI_LBS,TR-LBILBS-13,"Product shall use a low temperature threshold (referenced here as ""LTT"") for LBS state entry, defined as follows:

LTT = -5C",,,
LBI_LBS,TR-LBILBS-14,"Product shall use a high temperature threshold (referenced here as ""HTT"") for LBS state entry, defined as follows:

HTT = 65C",,,
LBI_LBS,TR-LBILBS-15,"Product shall use temperature hysteresis (referenced here as ""LBSTempHyst"") for LBS state exit, defined as follows:

LBSTempHyst = 5 (where 5 is in units of C)",,,
LBI_LBS,TR-LBILBS-16,"Product shall use voltage hysteresis (refereneced here as ""LBSVHLHyst"") for LBS state exit due to VHL measurement, defined as follows:

LBSVHLHyst = VHL x 5%",,,
LBI_LBS,TR-LBILBS-17,"Product shall use voltage hysteresis (referenced here as ""LBSVLLHyst"") for LBS state exit due to VLL measurement, defined as follows:

LBSVLLHyst = VLL x 5%",,,
LBI_LBS,TR-LBILBS-18,"Product shall use a voltage threshold (referenced here as ""NBTH"") to determine if a new battery has been installed defined as follows:

NBTH = TBD
 ",,Damian,determine values
LBI_LBS,TR-LBILBS-19,"Product shall use a threshold voltage (referenced here as ""VHLThresh"") for LBS entry/exit criteria defined as follows:

VHLThresh = TBD",,Damian,determine values
LBI_LBS,TR-LBILBS-2,Product shall support Battery Status Circuit that does not consume current when idle,,,
LBI_LBS,TR-LBILBS-20,"Product shall use a threshold voltage (referenced here as ""VLLThresh"") for LBS entry/exit criteria defined as follows:

VLLThresh = TBD",,Damian,determine values
LBI_LBS,TR-LBILBS-21,"Product shall support Low Battery Sleep (referenced here as ""LBS"") state such that in this state, product is shut down and functionality is limited to periodically checking for LBS exit condition.",,,
LBI_LBS,TR-LBILBS-22,Product shall reset whenever it exits LBS state.,,,
LBI_LBS,TR-LBILBS-23,"Product shall enter LBS state due to crash count if the following crash count condition is met:

crash count > 3",,,
LBI_LBS,TR-LBILBS-24,"Product shall enter LBS state due to temperature if the following temperature measurement condition is met:

Temp < LTT",,,
LBI_LBS,TR-LBILBS-25,"Product shall enter LBS state due to temperature if the following temperature measurement condition is met:

Temp > HTT",,,
LBI_LBS,TR-LBILBS-26,"Product shall enter LBS state due to battery voltage only if the following LBI measurement condition is met:

4, consecutive LBI measurements of VHL <= VHLThresh

NOTE: First VHL <= VHLThresh transitions to fast LBI mesurement. Remaining three consecutive measurements of VHL <= VHLThresh occur over a 30 minute period. (3 x 10 minutes).",,,
LBI_LBS,TR-LBILBS-27,"When product is in LBS state, product shall continuously check for button press.

NOTE: any button press exits LBS state.",,,
LBI_LBS,TR-LBILBS-28,"When product is in LBS state, if product enters LBS state due to temperature, then while in LBS state, product shall measure temperture every 5 minutes.",,,
LBI_LBS,TR-LBILBS-29,"If product enters LBS state due to temperature, then product shall exit LBS state only after the following LBS exit condition is met:

LTT + LBSTempHyst <= Temp <= HTT - LBSTempHyst

NOTE: Temp is the temperature measured every 5 minutes in LBS state.",,,
LBI_LBS,TR-LBILBS-3,Product shall support Low Battery Sleep (LBS) mode to prevent memory corruption or other adverse affects from depleted battery.,,,
LBI_LBS,TR-LBILBS-30,"When product is in LBS state, if product enters LBS state due to battery voltage, then while in LBS state, product shall measure VLL every 5 minutes.

NOTE: VHL is only measured if VLL is above VLLThresh + LBSVLLHyst",,,
LBI_LBS,TR-LBILBS-31,"When product is in LBS state, if product enters LBS state due to battery voltage, product shall exit LBS state only after the following LBS exit conditions are met:

VLL > VLLThresh + LBSVLLHyst
VHL > VHLThresh + LBSVHLHyst",,,
LBI_LBS,TR-LBILBS-32,"Product shall detect a new battery only after the following new battery conditions are met:

Product in LBS state
VHL > NBTH",,,
LBI_LBS,TR-LBILBS-33,"Product shall transition from normal LBI measurement operation (1x per hour) to fast LBI measurement (1x per 10 minutes) only after the following fast LBI measurement condition is met:

VHL <= VHLThresh",,,
LBI_LBS,TR-LBILBS-34,"Product shall transition from fast LBI mesurement (1x per 10 minutes) to normal LBI measurement (1x per hour) only after the following conditions are met:

Product in fast LBI measurement state prior to; but not yet in LBS state.
VHL > VHLThresh + LBSVHLHyst",,,
LBI_LBS,TR-LBILBS-35,"Product shall execute LBI measurement periodically, at a rate of 1x per hour during normal LBI measurement operation.",,,
LBI_LBS,TR-LBILBS-36,"Product shall execute LBI measurement periodically, at a rate of 1x per 10 minutes during fast LBI measurement operation.",,,
LBI_LBS,TR-LBILBS-37,"Product shall execute LBI measurement periodically, at a rate of 1x per 5 minutes when in LBS state.",,,
LBI_LBS,TR-LBILBS-38,"Product shall execute LBI measurement periodically, at a rate of 1x per 5 minutes when in FW upgrade state.",,,
LBI_LBS,TR-LBILBS-39,"Product shall execute LBI measurement periodically, at a rate of 1x per 24 hours when in Factory Sleep and Inventory Sleep states.",,,
LBI_LBS,TR-LBILBS-4,Product shall support early warning of sleep mode entry.,,,
LBI_LBS,TR-LBILBS-40,"Product shall execute temperature measurement periodically, at a rate of 1x per minute during normal operation.",,,
LBI_LBS,TR-LBILBS-41,"Product shall execute temperature measurement periodically, at a rate of 1x per minute during fast LBI measurement operation.",,,
LBI_LBS,TR-LBILBS-42,"Product shall execute temperature measurement periodically, at a rate of 1x per 5 minutes when in LBS state.",,,
LBI_LBS,TR-LBILBS-43,"Product shall execute temperature measurement periodically, at a rate of 1x per 1 minute when in FW upgrade state.",,,
LBI_LBS,TR-LBILBS-44,Product shall not execute temperature measurement in Factory Sleep and Inventory Sleep states.,,,
LBI_LBS,TR-LBILBS-45,"Product shall implement an LBI status byte for diagnostic purposes such that LBI status byte contains the following flags:

LBS ENTRY FLAG : Reason product entered LBS state
LBS EXIT FLAG : Reason product exited LBS state
ENTER LBS : Is product still in LBS state
NEW BATTERY : New battery has been detected by product",,,
LBI_LBS,TR-LBILBS-46,"LBI status byte flag ""LBS ENTRY FLAG"" (Reason product entered LBS state) shall support the following valid values:

LBS_ENTRY_FLAG_NONE : LBS entry flag cleared
LBS_ENTRY_FLAG_CRASH : enter (or remain in) LBS state due to crash count
LBS_ENTRY_FLAG_VLL : remain in LBS state due to VLL measurement
LBS_ENTRY_FLAG_VHL : enter (or remain in) LBS state due to VHL measurement
LBS_ENTRY_FLAG_LOW_TEMP : enter (or remain in) LBS state due to temperature measurement out of range low
LBS_ENTRY_FLAG_HIGH_TEMP : enter (or remain in) LBS state due to temperature measurement out of range high",,,
LBI_LBS,TR-LBILBS-47,"LBI status byte flag ""LBS EXIT FLAG"" (Reason product exited LBS state) shall support the following valid values:

LBS_EXIT_FLAG_NONE : LBS exit flag cleared
LBS_EXIT_FLAG_BUTTON : exit LBS due to button press
LBS_EXIT_FLAG_VLL_RESET : exit LBS state due to VLL and VHL above LBS threshold
LBS_EXIT_FLAG_TEMP_RESET : exit LBS state due to Temp within both the high and low temperature LBS thresholds",,,
LBI_LBS,TR-LBILBS-48,"LBI status byte shall be sent from product to core server in the LBI value field of location packet.

NOTE: LBI value < 128 is an LBI status byte. LBI value >= 128 is an actual LBI value",,,
LBI_LBS,TR-LBILBS-49,"Product shall re-send LBI value to server in every 3rd location packet when LBI value is not a new LBI measurement.

NOTE: LBI value is true battery LBI and not LBI status byte",,,
LBI_LBS,TR-LBILBS-5,Product shall implement a crash counter that increments each time the product resets.,,,
LBI_LBS,TR-LBILBS-50,"Product shall send LBI value to server in the location packet immediately after a new LBI measurement.

NOTE: LBI value is true battery LBI and not LBI status byte",,,
LBI_LBS,TR-LBILBS-51,Product shall send LBI status byte to server in every location packet during the final 10 minutes of fast LBI measurement state prior to entering LBS state.,,,
LBI_LBS,TR-LBILBS-52,Product shall send LBI status byte to server in the first location packet after exiting LBS mode and continue to send LBI status byte until it is acknowledged.,,,
LBI_LBS,TR-LBILBS-53,"Product shall support forced LBI measurement activity whenever the button is pressed and held for greater than 5s.

NOTE: Does not apply when product is in FACTORY SLEEP or INVENTORY SLEEP states.",,,
LBI_LBS,TR-LBILBS-6,Product shall clear crash counter to 0 when entering Factory or Inventory Sleep.,,,
LBI_LBS,TR-LBILBS-7,Product shall clear crash counter to 0 when exiting Factory or Inventory Sleep.,,,
LBI_LBS,TR-LBILBS-8,Product shall clear crash counter to 0 prior to any reset initiated by command.,,,
LBI_LBS,TR-LBILBS-9,Product shall clear crash counter to 0 upon entering LBS state.,,,
LED,TR-LED-1,Product GREEN LED shall be visible through housing.,,,
LED,TR-LED-10,Product shall continue button press transmit LED illumination pattern from initial button press until successful button press acknowledgement including while in synchronous state.,,,
LED,TR-LED-11,"Product shall illuminate LED according to the following pattern during button press packet transmission:

RED LED: on 20mS off remainder of period
Period: determined by ""BLE Duress Rate"" (250m2, 500ms, 1s, 2s)

NOTE: independent of button press packet type (UHF or BLE)",,,
LED,TR-LED-12,"Product shall illuminate LED according to the following pattern to indicate button press timeout expired with no acknowledgement (button press failure):

RED LED: on 250mS off 250mS (4x)

NOTE: independent of button press packet type (UHF or BLE)",,,
LED,TR-LED-13,"Product shall illuminate LED according to the following pattern to indicate successful acknowledgement of button press packet:

GREEN LED: on 250mS off 250mS (4x)

NOTE: independent of button press packet type (UHF or BLE)",,,
LED,TR-LED-14,"Product shall illuminate LED according to the following pattern when a new battery is detected:

GREEN LED: on 50mS off 250mS (8x)",,,
LED,TR-LED-15,"Product shall illuminate LED according to the following pattern when FIND TAG command is received from Core Server:

RED LED: on 250mS off 250mS
Repeat until timeout (30s) or button press acknowledged",,,
LED,TR-LED-16,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""128ms On"" is received from Core Server:

GREEN LED: on 128mS off remainder of 3s period",,,
LED,TR-LED-17,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""16ms On"" is received from Core Server:

GREEN LED: on 16mS off remainder of 3s period",,,
LED,TR-LED-18,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""2ms On"" is received from Core Server:

RED LED: on 250mS off 250mS
Repeat until timeout (30s) or button press acknowledged

NOTE: LED ON (with ""2ms On"" value selected is treated as FIND TAG command.",,,
LED,TR-LED-19,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""32ms On"" is received from Core Server:

GREEN LED: on 32mS off remainder of 3s period",,,
LED,TR-LED-2,Product GREEN LED shall be visible when watchface accessory is installed.,,,
LED,TR-LED-20,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""4ms On"" is received from Core Server:

GREEN LED: on 4mS off remainder of 3s period",,,
LED,TR-LED-21,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""64ms On"" is received from Core Server:

GREEN LED: on 64mS off remainder of 3s period",,,
LED,TR-LED-22,"Product shall illuminate LED according to the following pattern when LED ON command with value set to ""8ms On"" is received from Core Server:

GREEN LED: on 8mS off remainder of 3s period",,,
LED,TR-LED-23,"Product shall illuminate LED according to the following pattern whenever a battery check event is executed and battery level is TBD (<25%):

RED LED: on 250mS off 250mS (3x)",,,
LED,TR-LED-24,"Product shall illuminate LED according to the following pattern whenever a battery check event is executed and battery level is TBD (>25% <50%):

GREEN LED: on 250mS off 250mS (1x)
RED LED: on 250mS off 250mS (2x)",,,
LED,TR-LED-25,"Product shall illuminate LED according to the following pattern whenever a battery check event is executed and battery level is TBD(>50% <75%):

GREEN LED: on 250mS off 250mS (2x)
RED LED: on 250mS off 250mS (1x)",,,
LED,TR-LED-26,"Product shall illuminate LED according to the following pattern whenever a battery check event is executed and battery level is TBD(>75%):

GREEN LED: on 250mS off 250mS (3x)",,,
LED,TR-LED-27,"Product shall illuminate LED according to the following pattern, just prior to reset, whenever product transitions from ACTIVE STATE state to INVENTORY SLEEP state:

GREEN LED: 250mS on 250ms off (3x)
RED LED: 250mS on 250ms off (3x)",,,
LED,TR-LED-28,"Product shall illuminate LED according to the following pattern, just prior to reset, whenever product transitions from FACTORY SLEEP state to ACTIVE state:

RED LED: 250mS on 250ms off (3x)
GREEN LED: 250mS on 250ms off (3x)",,,
LED,TR-LED-29,"Product shall illuminate LED according to the following pattern, just prior to reset, whenever product transitions from INVENTORY SLEEP state to ACTIVE state:

RED LED: 250mS on 250ms off (3x)
GREEN LED: 250mS on 250ms off (3x)",,,
LED,TR-LED-3,Product RED LED shall be visible through housing.,,,
LED,TR-LED-30,"Product shall illuminate LED according to the following pattern, just prior to reset, whenever product transitions from sleep state NONE to FACTORY SLEEP state:

GREEN LED: 250mS on 250ms off (3x)
RED LED: 250mS on 250ms off (3x)",,,
LED,TR-LED-31,"When LED is flashing due to LED ON command received, the LED shall only stop flashing in the following cases:
1. LED OFF command received by product
2. Product enters no motion sleep",,,
LED,TR-LED-4,Product RED LED shall visible when watchface accessory is installed.,,,
LED,TR-LED-5,Product shall clear/stop button press transmit LED illumination pattern immediately prior to failure LED indication.,,,
LED,TR-LED-6,Product shall clear/stop button press transmit LED illumination pattern immediately prior to success LED indication.,,,
LED,TR-LED-7,"Product shall contain a single, 2-color, LED with the following supported colors:
- GREEN
- RED",,,
LED,TR-LED-8,Product shall continue button press transmit LED illumination pattern from initial button press until successful button press acknowledgement including while in asynchronous state.,,,
LED,TR-LED-9,Product shall continue button press transmit LED illumination pattern from initial button press until successful button press acknowledgement including while in pseudo-synchronous state.,,,
LF,TR-LF-1,Product shall successfully detect and decode LF at a distance of up to 6.5' from LF source when source is operating at maximum power setting.,,,
LF,TR-LF-10,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-11,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-12,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-13,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-14,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-15,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-16,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-17,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-18,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-19,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-2,Product shall support Noise Reduction algorithm and configuration by profile selection for LF,,,
LF,TR-LF-20,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-21,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : >=98%

Test Setup
- System: Pegasus
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 12ft
- LF Exciter power level: High
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-22,Product shall not detect LF at a distance greater than 10' from LF source when source is operating at maximum power setting.,,,
LF,TR-LF-23,Product shall support LF Manchester decode.,,,
LF,TR-LF-24,Product shall support LF PPM decode.,,,
LF,TR-LF-25,Product shall support Orion LF protocol.,,,
LF,TR-LF-26,Product shall support Pegasus LF protocol.,,,
LF,TR-LF-3,Product shall support detection of exit from facility.,,,
LF,TR-LF-4,Product shall support notification to server that an exit has occurred.   ,,,
LF,TR-LF-5,"Product shall be capable of locking doors via CenTrak Door Controllers.

i.e. if a Bracelet is near an exit protected by LF Antenna and Door Contoller, the exit should lock down similar to the Secure Tag",,,
LF,TR-LF-6,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-7,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: Manchester
- Product worn on wrist as in comercial environment
- Watchface installed",,,
LF,TR-LF-8,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- No watchface",,,
LF,TR-LF-9,"Product shall meet the following LF functional performance criteria:
- LF error/drop rate : <=2%

Test Setup
- System: Orion
- Test sample size: >= 500 LF receives
- Distance to LF Exciter: 7ft
- LF Exciter power level: Low
- LF Exciter Encoding: PCM
- Product worn on wrist as in comercial environment
- Watchface installed",,,
Locating,TR-BLE-21,"Product shall not report location over BLE when configured for operating mode ""UHF and BLE"", in synchronous mode, and in valid IR field.",,,
Locating,TR-Locate-1,"Product shall not report location over UHF when configured for operating mode ""UHF and BLE"" and in asynchronous mode.",,,
Locating,TR-Locate-10,"Product UHF location report rate when configured for operating mode ""UHF Only"", in active state, in synchronous mode, and in valid IR field; shall be timed according to the following configurable IR report rate options:
12s: Report location every 12s +/-1s
48s: Report location every 48s +/-2s
120s: Report location every 120s +/-5s
300s: Report location every 300s +/-5s",,,
Locating,TR-Locate-11,"Product UHF location report rate when configured for operating mode ""UHF Only"", in active state, in synchronous mode, and not in valid IR field; shall be timed according to the following configurable RF report rate options:
6s: Report location every 6s +/-1s
12s: Report location every 12s +/-1s
24s: Report location every 24s +/-2s
48s: Report location every 48s +/-2s",,,
Locating,TR-Locate-2,"Product shall not report location over UHF when configured for operating mode ""UHF Only"" and in asynchronous mode.",,,
Locating,TR-Locate-3,"Product shall send periodic location packets to server with the following key value, whenever band is in closed state.

- Key Value: 2, 3",,,
Locating,TR-Locate-4,"Product shall send periodic location packets to server with the following key value, whenever band is in open state.

- Key Value: 2, 3, 4",,,
Locating,TR-Locate-5,"Product shall support configurable RF report rate with the following settings: 

6s, 12s, 24s, 48s
NOTE: This is the report rate when product is not within a valid IR field
",,,
Locating,TR-Locate-7,"Product UHF location report rate when configured for operating mode ""UHF and BLE"", in active state, in synchronous mode, and in valid IR field; shall be timed according to the following configurable IR report rate options:
12s: Report location every 12s +/-1s
48s: Report location every 48s +/-2s
120s: Report location every 120s +/-5s
300s: Report location every 300s +/-5s",,,
Locating,TR-Locate-8,"Product UHF location report rate when configured for operating mode ""UHF and BLE"", in active state, in synchronous mode, and not in valid IR field; shall be timed according to the following configurable RF report rate options:
6s: Report location every 6s +/-1s
12s: Report location every 12s +/-1s
24s: Report location every 24s +/-2s
48s: Report location every 48s +/-2s",,,
Manufacturing,TR-MFG-1,Product shall support Physical Access to JTAG Pads through Battery Compartment,,,
Manufacturing,TR-MFG-2,Product shall support connection to jig to enable Handheld Hardware/Firmware Debugging in the Field,,,
Manufacturing,TR-MFG-3,Product shall support manufacturing programming connection via One Step Jig Attachment,,,
Manufacturing,TR-MFG-4,Product shall support manufacturing test point connection via One Step Jig Attachment,,,
Manufacturing,TR-MFG-5,"Product shall only use tag IDs from the Pegasus, Multi-Mode, tag ID range.

NOTE: Tag IDs are provided by manufacturer according to the next available block of IDs in the range.",,,
Memory,TR-Mem-1,Product shall support memory needs for all firmware/configuration options,,,
Motion,TR-Motion-1,Product shall support Motion Detection,,,
Motion,TR-Motion-2,Product Shall Reliably Detect Motion,,,
Motion,TR-Motion-3,Product Shall Reliably Reject False Motion,,,
Motion,TR-Motion-4,Product May Support Configuration for Motion Sensitivity,,,
Paging,TR-Page-1,"Product paging pattern when configured for operating mode ""BLE Only"" shall consist of three pages (paging triplet) repeated continuously, according to the following timing:
Intra-triplet gap = 6.5s+/-1s; inter-triplet gap = 300s+/-3s",,,
Paging,TR-Page-2,"Product paging pattern when configured for operating mode ""UHF and BLE"", in active state, and asynchronous mode; shall consist of a pair of pages (paging pair) repeated continuously, according to the following configurable optons:
Setting = 6.5s: Intra-pair gap = 6.5s+/-1s; inter-pair gap = 6.5s+/-1s
Setting = 9.5s: Intra-pair gap = 6.5s+/-1s; inter-pair gap = 9.5s+/-1s
Setting = 12.5s: Intra-pair gap = 6.5s+/-1s; inter-pair gap = 12.5s+/-1s
Setting = 24.5s: Intra-pair gap = 6.5s+/-1s; inter-pair gap = 24.5s+/-1s",,,
Paging,TR-Page-3,"Product paging pattern when configured for operating mode ""UHF and BLE"", in no-motion sleep state, and asynchronous mode; shall consist of three pages (paging triplet) repeated continuously, according to the following timing, independant of active paging profile configuration:
Intra-triplet gap = 6.5s+/-1s; inter-triplet gap = 300s+/-3s",,,
